TSE_stat,date,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
"S&P/TSE Composite Index, close",1987-12-01,"Index, 2000=1000",176,1.3,3160.05,NA
"S&P/TSE Composite Index, close",1988-01-01,"Index, 2000=1000",176,1.3,3057.22,NA
"S&P/TSE Composite Index, close",1988-02-01,"Index, 2000=1000",176,1.3,3204.83,NA
"S&P/TSE Composite Index, close",1988-03-01,"Index, 2000=1000",176,1.3,3313.79,NA
"S&P/TSE Composite Index, close",1988-04-01,"Index, 2000=1000",176,1.3,3339.77,NA
"S&P/TSE Composite Index, close",1988-05-01,"Index, 2000=1000",176,1.3,3249.22,NA
"S&P/TSE Composite Index, close",1988-06-01,"Index, 2000=1000",176,1.3,3441.48,NA
"S&P/TSE Composite Index, close",1988-07-01,"Index, 2000=1000",176,1.3,3376.73,NA
"S&P/TSE Composite Index, close",1988-08-01,"Index, 2000=1000",176,1.3,3285.82,NA
"S&P/TSE Composite Index, close",1988-09-01,"Index, 2000=1000",176,1.3,3283.71,NA
"S&P/TSE Composite Index, close",1988-10-01,"Index, 2000=1000",176,1.3,3395.52,NA
"S&P/TSE Composite Index, close",1988-11-01,"Index, 2000=1000",176,1.3,3294.68,NA
"S&P/TSE Composite Index, close",1988-12-01,"Index, 2000=1000",176,1.3,3389.99,NA
"S&P/TSE Composite Index, close",1989-01-01,"Index, 2000=1000",176,1.3,3616.64,NA
"S&P/TSE Composite Index, close",1989-02-01,"Index, 2000=1000",176,1.3,3572.12,NA
"S&P/TSE Composite Index, close",1989-03-01,"Index, 2000=1000",176,1.3,3578.22,NA
"S&P/TSE Composite Index, close",1989-04-01,"Index, 2000=1000",176,1.3,3627.85,NA
"S&P/TSE Composite Index, close",1989-05-01,"Index, 2000=1000",176,1.3,3707.44,NA
"S&P/TSE Composite Index, close",1989-06-01,"Index, 2000=1000",176,1.3,3760.91,NA
"S&P/TSE Composite Index, close",1989-07-01,"Index, 2000=1000",176,1.3,3970.8,NA
"S&P/TSE Composite Index, close",1989-08-01,"Index, 2000=1000",176,1.3,4010.2,NA
"S&P/TSE Composite Index, close",1989-09-01,"Index, 2000=1000",176,1.3,3943.1,NA
"S&P/TSE Composite Index, close",1989-10-01,"Index, 2000=1000",176,1.3,3918.7,NA
"S&P/TSE Composite Index, close",1989-11-01,"Index, 2000=1000",176,1.3,3942.8,NA
"S&P/TSE Composite Index, close",1989-12-01,"Index, 2000=1000",176,1.3,3969.79,NA
"S&P/TSE Composite Index, close",1990-01-01,"Index, 2000=1000",176,1.3,3704.5,NA
"S&P/TSE Composite Index, close",1990-02-01,"Index, 2000=1000",176,1.3,3686.8,NA
"S&P/TSE Composite Index, close",1990-03-01,"Index, 2000=1000",176,1.3,3639.6,NA
"S&P/TSE Composite Index, close",1990-04-01,"Index, 2000=1000",176,1.3,3341,NA
"S&P/TSE Composite Index, close",1990-05-01,"Index, 2000=1000",176,1.3,3581.99,NA
"S&P/TSE Composite Index, close",1990-06-01,"Index, 2000=1000",176,1.3,3544,NA
"S&P/TSE Composite Index, close",1990-07-01,"Index, 2000=1000",176,1.3,3561.2,NA
"S&P/TSE Composite Index, close",1990-08-01,"Index, 2000=1000",176,1.3,3346.3,NA
"S&P/TSE Composite Index, close",1990-09-01,"Index, 2000=1000",176,1.3,3159.4,NA
"S&P/TSE Composite Index, close",1990-10-01,"Index, 2000=1000",176,1.3,3081.26,NA
"S&P/TSE Composite Index, close",1990-11-01,"Index, 2000=1000",176,1.3,3151.1,NA
"S&P/TSE Composite Index, close",1990-12-01,"Index, 2000=1000",176,1.3,3256.8,NA
"S&P/TSE Composite Index, close",1991-01-01,"Index, 2000=1000",176,1.3,3273,NA
"S&P/TSE Composite Index, close",1991-02-01,"Index, 2000=1000",176,1.3,3462.37,NA
"S&P/TSE Composite Index, close",1991-03-01,"Index, 2000=1000",176,1.3,3495.7,NA
"S&P/TSE Composite Index, close",1991-04-01,"Index, 2000=1000",176,1.3,3468.9,NA
"S&P/TSE Composite Index, close",1991-05-01,"Index, 2000=1000",176,1.3,3546.2,NA
"S&P/TSE Composite Index, close",1991-06-01,"Index, 2000=1000",176,1.3,3465.82,NA
"S&P/TSE Composite Index, close",1991-07-01,"Index, 2000=1000",176,1.3,3539.64,NA
"S&P/TSE Composite Index, close",1991-08-01,"Index, 2000=1000",176,1.3,3517.89,NA
"S&P/TSE Composite Index, close",1991-09-01,"Index, 2000=1000",176,1.3,3387.88,NA
"S&P/TSE Composite Index, close",1991-10-01,"Index, 2000=1000",176,1.3,3515.76,NA
"S&P/TSE Composite Index, close",1991-11-01,"Index, 2000=1000",176,1.3,3448.51,NA
"S&P/TSE Composite Index, close",1991-12-01,"Index, 2000=1000",176,1.3,3512.36,NA
"S&P/TSE Composite Index, close",1992-01-01,"Index, 2000=1000",176,1.3,3596.12,NA
"S&P/TSE Composite Index, close",1992-02-01,"Index, 2000=1000",176,1.3,3581.94,NA
"S&P/TSE Composite Index, close",1992-03-01,"Index, 2000=1000",176,1.3,3412.14,NA
"S&P/TSE Composite Index, close",1992-04-01,"Index, 2000=1000",176,1.3,3355.56,NA
"S&P/TSE Composite Index, close",1992-05-01,"Index, 2000=1000",176,1.3,3387.93,NA
"S&P/TSE Composite Index, close",1992-06-01,"Index, 2000=1000",176,1.3,3387.7,NA
"S&P/TSE Composite Index, close",1992-07-01,"Index, 2000=1000",176,1.3,3443.42,NA
"S&P/TSE Composite Index, close",1992-08-01,"Index, 2000=1000",176,1.3,3402.92,NA
"S&P/TSE Composite Index, close",1992-09-01,"Index, 2000=1000",176,1.3,3297.88,NA
"S&P/TSE Composite Index, close",1992-10-01,"Index, 2000=1000",176,1.3,3336.12,NA
"S&P/TSE Composite Index, close",1992-11-01,"Index, 2000=1000",176,1.3,3282.83,NA
"S&P/TSE Composite Index, close",1992-12-01,"Index, 2000=1000",176,1.3,3350.44,NA
"S&P/TSE Composite Index, close",1993-01-01,"Index, 2000=1000",176,1.3,3305.47,NA
"S&P/TSE Composite Index, close",1993-02-01,"Index, 2000=1000",176,1.3,3451.69,NA
"S&P/TSE Composite Index, close",1993-03-01,"Index, 2000=1000",176,1.3,3602.44,NA
"S&P/TSE Composite Index, close",1993-04-01,"Index, 2000=1000",176,1.3,3789.41,NA
"S&P/TSE Composite Index, close",1993-05-01,"Index, 2000=1000",176,1.3,3882.68,NA
"S&P/TSE Composite Index, close",1993-06-01,"Index, 2000=1000",176,1.3,3966.37,NA
"S&P/TSE Composite Index, close",1993-07-01,"Index, 2000=1000",176,1.3,3967.23,NA
"S&P/TSE Composite Index, close",1993-08-01,"Index, 2000=1000",176,1.3,4137.55,NA
"S&P/TSE Composite Index, close",1993-09-01,"Index, 2000=1000",176,1.3,3990.61,NA
"S&P/TSE Composite Index, close",1993-10-01,"Index, 2000=1000",176,1.3,4255.54,NA
"S&P/TSE Composite Index, close",1993-11-01,"Index, 2000=1000",176,1.3,4180.21,NA
"S&P/TSE Composite Index, close",1993-12-01,"Index, 2000=1000",176,1.3,4321.43,NA
