date,TSE_stat,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
1972-02-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,888.46,TRUE
1972-02-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1184.47,TRUE
1972-02-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,1069.37,TRUE
1972-02-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,501.51,TRUE
1972-02-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,2.82,TRUE
1972-02-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,18.82,TRUE
1972-03-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1087.72,NA
1972-03-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1249.59,TRUE
1972-03-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1139.62,TRUE
1972-03-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1135.12,TRUE
1972-03-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,798.07,TRUE
1972-03-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1130.6,TRUE
1972-03-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,1003.88,TRUE
1972-03-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,506.69,TRUE
1972-03-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,2.85,TRUE
1972-03-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,17.94,TRUE
1972-04-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1099.12,NA
1972-04-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1238.72,TRUE
1972-04-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1119,TRUE
1972-04-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1116.78,TRUE
1972-04-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,822.39,TRUE
1972-04-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1166.49,TRUE
1972-04-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,1061.15,TRUE
1972-04-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,516.71,TRUE
1972-04-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,2.84,TRUE
1972-04-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,18.11,TRUE
1972-05-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1129.41,NA
1972-05-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1272.48,TRUE
1972-05-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1129.8,TRUE
1972-05-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1092.15,TRUE
1972-05-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,890.15,TRUE
1972-05-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1208.05,TRUE
1972-05-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,1040.15,TRUE
1972-05-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,592.25,TRUE
1972-05-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,2.77,TRUE
1972-05-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,18.03,TRUE
1972-06-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1104.29,NA
1972-06-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1307.63,TRUE
1972-06-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1058.89,TRUE
1972-06-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1074.36,TRUE
1972-06-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,856.64,TRUE
1972-06-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1211.02,TRUE
